city_or_county,state_abr,n_rpts_x,n_injured_x,n_killed_x,n_injured_y,n_rpts_y,n_killed_y
Lady Lake,FL,21,0,4,0,21,4
Lady's Island,SC,5,0,1,0,5,1
Ladysmith,WI,2,0,1,0,2,1
Lafayette,AL,2,1,1,1,2,1
Lafayette,CA,1,0,0,0,1,0
Lafayette,CO,3,0,2,0,3,2
Lafayette,IN,156,40,14,40,156,14
Lafayette,LA,242,134,65,134,242,65
Lafayette,TN,3,1,3,1,3,3
Lafayette,WI,1,1,1,1,1,1
Lafayette (county),LA,4,1,1,1,4,1
Lafayette (county),MS,1,0,1,0,1,1
Lafayette Parish,LA,6,2,3,2,6,3
Lafollette,TN,2,2,0,2,2,0
Lafourche Parish,LA,2,0,1,0,2,1
Lagrange,GA,207,79,17,79,207,17
Lagrange,IN,1,1,0,1,1,0
Lagrange,KY,1,1,0,1,1,0
Lagrange,ME,1,0,1,0,1,1
Lagrange,OH,1,1,0,1,1,0
Lagrange (LaGrange),GA,2,1,0,1,2,0
Lagrange (county),IN,3,1,0,1,3,0
Lagrange County,IN,1,0,0,0,1,0
Lagrangeville,NY,4,0,0,0,4,0
Lagrangeville (La Grange),NY,1,0,0,0,1,0
Lagro,IN,1,0,0,0,1,0
Laguardia,NY,1,0,0,0,1,0
Laguna,NM,1,0,1,0,1,1
Laguna Beach,CA,3,1,0,1,3,0
Laguna Hills,CA,1,0,1,0,1,1
Laguna Niguel,CA,2,3,0,3,2,0
Laguna Woods,CA,1,0,1,0,1,1
Lahaina,HI,1,0,0,0,1,0
Laie,HI,1,0,1,0,1,1
Laingsburg,MI,1,1,0,1,1,0
Lake,MI,1,1,0,1,1,0
Lake,MS,2,0,0,0,2,0
Lake (county),IL,1,0,0,0,1,0
Lake (county),IN,2,0,0,0,2,0
Lake (county),MI,1,1,1,1,1,1
Lake Alfred,FL,2,0,2,0,2,2
Lake Andes,SD,1,0,0,0,1,0
Lake Andes (Ravinia),SD,1,1,0,1,1,0
Lake Ariel,PA,1,0,0,0,1,0
Lake Arrowhead,CA,1,1,0,1,1,0
Lake Arthur,LA,3,0,2,0,3,2
Lake Arthur,NM,2,1,0,1,2,0
Lake Bluff,IL,1,3,0,3,1,0
Lake Butler,FL,4,1,7,1,4,7
Lake Charles,LA,108,56,33,56,108,33
Lake Charles (Moss Bluff),LA,4,2,2,2,4,2
Lake City,AR,2,0,1,0,2,1
Lake City,FL,49,26,12,26,49,12
Lake City,GA,1,0,1,0,1,1
Lake City,MI,1,1,0,1,1,0
Lake City,MN,1,0,0,0,1,0
Lake City,SC,38,21,10,21,38,10
Lake Cormorant,MS,1,0,1,0,1,1
Lake County,FL,4,2,0,2,4,0
Lake County,IL,1,1,0,1,1,0
Lake County,IN,3,2,0,2,3,0
Lake County,OH,1,0,1,0,1,1
Lake Delton,WI,1,0,0,0,1,0
Lake Elsinore,CA,26,4,13,4,26,13
Lake Forest,CA,1,1,0,1,1,0
Lake Forest,IL,4,0,3,0,4,3
Lake Forest Park,WA,1,0,0,0,1,0
Lake Geneva,WI,3,0,2,0,3,2
Lake George,NY,5,0,0,0,5,0
Lake Grove,NY,1,0,0,0,1,0
Lake Havasu City,AZ,15,7,5,7,15,5
Lake Helen,FL,1,0,0,0,1,0
Lake Hopatcong,NJ,2,1,2,1,2,2
Lake Isabella,CA,3,1,0,1,3,0
Lake Jackson,TX,3,1,1,1,3,1
Lake Linden,MI,1,0,0,0,1,0
Lake Los Angeles,CA,1,0,1,0,1,1
Lake Luzerne,NY,1,0,0,0,1,0
Lake Lynn,PA,1,1,1,1,1,1
Lake Mary,FL,11,2,2,2,11,2
Lake Mills,IA,1,0,0,0,1,0
Lake Mills,WI,2,0,1,0,2,1
Lake Nebagamon,WI,1,1,0,1,1,0
Lake Norden,SD,1,1,0,1,1,0
Lake Odessa,MI,2,1,2,1,2,2
Lake Orion,MI,5,2,1,2,5,1
Lake Orion (Orion Township),MI,4,0,4,0,4,4
Lake Oswego,OR,2,1,1,1,2,1
Lake Ozark,MO,2,1,2,1,2,2
Lake Panasoffkee,FL,4,2,1,2,4,1
Lake Park,FL,3,2,1,2,3,1
Lake Placid,FL,8,7,0,7,8,0
Lake Placid,NY,4,1,0,1,4,0
Lake Providence,LA,1,0,1,0,1,1
Lake Ridge,VA,3,1,0,1,3,0
Lake Ronkonkoma,NY,2,0,0,0,2,0
Lake Saint Louis,MO,3,0,2,0,3,2
Lake Station,IN,7,1,3,1,7,3
Lake Stevens,WA,11,8,2,8,11,2
Lake Success,NY,1,1,0,1,1,0
Lake Tahoe,CA,1,1,0,1,1,0
Lake Toxaway,NC,1,0,1,0,1,1
Lake View,AL,1,0,1,0,1,1
Lake View,IA,2,0,1,0,2,1
Lake View,SC,1,0,1,0,1,1
Lake View Terrace,CA,1,1,0,1,1,0
Lake Villa,IL,1,0,1,0,1,1
Lake Villa (Lindenhurst),IL,1,0,0,0,1,0
Lake Waccamaw,NC,6,3,1,3,6,1
Lake Wales,FL,17,6,5,6,17,5
Lake Worth,FL,116,57,25,57,116,25
Lake Worth (Atlantis),FL,1,0,0,0,1,0
Lake Worth (Green Acres),FL,1,0,0,0,1,0
Lake Worth (Hypoluxo),FL,4,0,1,0,4,1
Lake Worth (Lantana),FL,26,8,8,8,26,8
Lake Worth (Palm Springs),FL,12,6,1,6,12,1
Lake Wylie,SC,3,1,0,1,3,0
Lake Zurich,IL,2,1,0,1,2,0
Lake Zurich (Long Grove),IL,1,0,0,0,1,0
Lakebay,WA,1,0,0,0,1,0
Lakehills,TX,2,1,2,1,2,2
Lakeland,FL,87,40,41,40,87,41
Lakeland,GA,4,3,1,3,4,1
Lakeland,TN,1,0,1,0,1,1
Lakeland ,FL,1,0,0,0,1,0
Lakeland (Lake Saint Croix Beach),MN,1,0,0,0,1,0
Lakemore,OH,1,2,0,2,1,0
Lakeshore,MS,1,0,0,0,1,0
Lakeside,CA,3,0,2,0,3,2
Lakeside,MT,2,0,0,0,2,0
Lakeside,OR,1,0,0,0,1,0
Lakeside Marblehead,OH,1,0,0,0,1,0
Lakeview,AR,2,1,0,1,2,0
Lakeview,MI,2,0,1,0,2,1
Lakeview,NY,1,0,0,0,1,0
Lakeview,OR,1,0,2,0,1,2
Lakeview,WA,1,0,0,0,1,0
Lakeville,IN,2,0,1,0,2,1
Lakeville,MN,2,0,0,0,2,0
Lakewood,CA,10,6,5,6,10,5
Lakewood,CO,6,7,1,7,6,1
Lakewood,NJ,27,18,6,18,27,6
Lakewood,NM,1,1,0,1,1,0
Lakewood,NY,1,1,0,1,1,0
Lakewood,OH,28,5,5,5,28,5
Lakewood,WA,40,18,12,18,40,12
Lakewood (Joint Base Lewis Mcchord),WA,3,1,1,1,3,1
Lamar,AR,1,0,0,0,1,0
Lamar,CO,1,1,0,1,1,0
Lamar,MS,3,1,1,1,3,1
Lamar,SC,15,5,1,5,15,1
Lamar (county),MS,7,3,2,3,7,2
Lamar County,GA,2,2,0,2,2,0
Lamar County,MS,1,1,0,1,1,0
Lambertville,MI,3,1,0,1,3,0
Lame Deer,MT,1,0,0,0,1,0
Lamesa,TX,5,3,2,3,5,2
Lamoni,IA,1,0,0,0,1,0
Lamont,CA,20,9,11,9,20,11
Lampasas,TX,4,0,4,0,4,4
Lampasas County,TX,1,1,0,1,1,0
Lanark,IL,1,0,1,0,1,1
Lancaster,CA,56,21,34,21,56,34
Lancaster,KY,2,2,1,2,2,1
Lancaster,MA,1,0,0,0,1,0
Lancaster,NH,1,0,1,0,1,1
Lancaster,NY,3,0,0,0,3,0
Lancaster,OH,47,7,5,7,47,5
Lancaster,PA,276,100,30,100,276,30
Lancaster,SC,69,35,29,35,69,29
Lancaster,TX,11,8,7,8,11,7
Lancaster (Lake Los Angeles),CA,1,0,0,0,1,0
Lancaster (Quartz Hill),CA,1,0,0,0,1,0
Lancaster (county),NE,1,1,0,1,1,0
Lancaster (county),PA,5,0,0,0,5,0
Lancaster (county),SC,3,0,1,0,3,1
Lancaster County,PA,4,0,0,0,4,0
Lancaster County,SC,1,0,1,0,1,1
Land O Lakes,FL,1,0,1,0,1,1
Land O Lakes (Land O' Lakes),FL,4,3,1,3,4,1
Lander,WY,4,2,2,2,4,2
Landers (Johnson Valley),CA,1,0,0,0,1,0
Landis,NC,2,1,0,1,2,0
Landis Park,NJ,1,1,0,1,1,0
Landisville,PA,1,0,0,0,1,0
Landover,MD,5,1,3,1,5,3
Landover Hills,MD,3,0,1,0,3,1
Landrum,SC,2,0,1,0,2,1
Lane (county),OR,1,0,0,0,1,0
Lanesboro,MN,1,0,1,0,1,1
Lanesboro (Hancock),MA,1,1,0,1,1,0
Lanesboro (Lanesborough),MA,2,0,1,0,2,1
Lanesville,IN,1,0,0,0,1,0
Lanett,AL,5,11,2,11,5,2
Langford,SD,1,0,0,0,1,0
Langhorne,PA,3,0,0,0,3,0
Langston,AL,1,0,1,0,1,1
Langston,OK,2,1,0,1,2,0
Langsville,OH,2,1,1,1,2,1
Lanham,MD,9,2,3,2,9,3
Lanoka Harbor,NJ,1,0,0,0,1,0
Lanoka Harbor (Lacey Township),NJ,1,0,0,0,1,0
Lansdale,PA,4,0,7,0,4,7
Lansdale (Upper Gwynedd),PA,1,1,0,1,1,0
Lansdowne,MD,1,1,0,1,1,0
Lansdowne,PA,1,1,0,1,1,0
Lansdowne (East Lansdowne),PA,1,0,0,0,1,0
Lansdowne (Yeadon),PA,6,5,2,5,6,2
Lansford,PA,4,2,0,2,4,0
Lansing,IL,12,7,4,7,12,4
Lansing,KS,3,0,0,0,3,0
Lansing,MI,189,116,40,116,189,40
Lansing,NY,1,1,0,1,1,0
Lantana,FL,2,3,0,3,2,0
Laotto,IN,3,1,1,1,3,1
Lapeer,MI,2,1,0,1,2,0
Lapel,IN,1,0,2,0,1,2
Lapine,AL,1,1,0,1,1,0
Laplace,LA,12,5,6,5,12,6
Laporte,IN,4,2,0,2,4,0
Laporte,MN,1,1,0,1,1,0
Laporte County,IN,2,2,0,2,2,0
Lapwai,ID,1,0,0,0,1,0
Laquey,MO,1,1,0,1,1,0
Laramie,WY,2,0,2,0,2,2
Laramie (county),WY,1,0,0,0,1,0
Larchwood,IA,1,1,0,1,1,0
Laredo,TX,160,44,25,44,160,25
Largo,FL,29,9,15,9,29,15
Largo,MD,1,1,0,1,1,0
Largo (Belleair Bluffs),FL,1,0,0,0,1,0
Larimer,PA,4,3,1,3,4,1
Larimer (county),CO,6,2,4,2,6,4
Larimer County,CO,2,1,0,1,2,0
Larkspur,CA,2,1,0,1,2,0
Larkspur,CO,4,0,1,0,4,1
Larksville,PA,2,1,0,1,2,0
Larose,LA,5,2,2,2,5,2
Larsen,WI,1,0,0,0,1,0
Larue,TX,1,0,1,0,1,1
Las Cruces,NM,92,35,30,35,92,30
Las Cruces,TX,2,0,0,0,2,0
Las Palomas,NM,1,0,1,0,1,1
Las Vegas,NM,6,3,1,3,6,1
Las Vegas,NV,1342,709,600,709,1342,600
Lasalle County,IL,1,0,1,0,1,1
Lascassas,TN,1,1,0,1,1,0
Lashmeet,WV,1,1,0,1,1,0
Latham,NY,3,0,3,0,3,3
Lathrop,CA,4,1,3,1,4,3
Lathrup Village,MI,1,0,0,0,1,0
Laton,CA,2,0,1,0,2,1
Latonia,KY,1,0,0,0,1,0
Latrobe,PA,7,0,2,0,7,2
Latta,SC,10,5,6,5,10,6
Lauderdale,MS,3,3,0,3,3,0
Lauderdale (county),AL,3,3,2,3,3,2
Lauderdale (county),MS,10,4,2,4,10,2
Lauderdale County,AL,2,0,0,0,2,0
Lauderdale County,MS,11,2,2,2,11,2
Lauderdale Lakes,FL,6,1,2,1,6,2
Lauderhill,FL,11,9,3,9,11,3
Laughlin,NV,6,2,3,2,6,3
Laughlintown,PA,1,0,0,0,1,0
Laurel,DE,13,2,1,2,13,1
Laurel,IA,1,1,0,1,1,0
Laurel,IN,4,1,1,1,4,1
Laurel,MD,44,13,13,13,44,13
Laurel,MS,43,19,9,19,43,9
Laurel,MT,10,1,0,1,10,0
Laurel,NY,1,0,0,0,1,0
Laurel,VA,1,0,0,0,1,0
Laurel (county),KY,4,1,0,1,4,0
Laurel County,KY,12,3,2,3,12,2
Laurel Hill,FL,3,1,0,1,3,0
Laurel Hill,NC,1,0,0,0,1,0
Laurel Springs,NC,1,0,1,0,1,1
Laurens,NY,1,0,2,0,1,2
Laurens,SC,19,11,4,11,19,4
Laurens (county),GA,1,1,0,1,1,0
Laurens (county),SC,1,0,1,0,1,1
Laurens County,SC,2,1,0,1,2,0
Laurinburg,NC,39,23,12,23,39,12
Lavaca,AR,1,0,1,0,1,1
Laveen,AZ,13,6,8,6,13,8
Laveen Village,AZ,1,0,0,0,1,0
Lavonia,GA,4,2,7,2,4,7
Lawndale,CA,6,4,2,4,6,2
Lawndale,NC,2,0,1,0,2,1
Lawrence,IN,9,5,3,5,9,3
Lawrence,KS,62,38,14,38,62,14
Lawrence,MA,73,30,21,30,73,21
Lawrence,MI,2,1,0,1,2,0
Lawrence,MS,1,1,0,1,1,0
Lawrence,NJ,1,0,0,0,1,0
Lawrence,NY,1,0,0,0,1,0
Lawrence (county),AL,3,1,0,1,3,0
Lawrence (county),KY,1,1,0,1,1,0
Lawrence (county),MS,3,0,1,0,3,1
Lawrence (county),OH,1,0,0,0,1,0
Lawrence (county),PA,1,0,1,0,1,1
Lawrence (county),SD,1,0,1,0,1,1
Lawrence (county),TN,2,0,0,0,2,0
Lawrence County,AL,2,1,1,1,2,1
Lawrence County,AR,1,0,0,0,1,0
Lawrence County,MO,2,0,1,0,2,1
Lawrence County,OH,1,1,0,1,1,0
Lawrence Township,NJ,3,0,0,0,3,0
Lawrence Township,OH,1,0,0,0,1,0
Lawrence Township (Lawrence),NJ,1,0,0,0,1,0
Lawrence Township (Lawrenceville),NJ,1,0,1,0,1,1
Lawrenceburg,IN,3,0,1,0,3,1
Lawrenceburg,KY,15,3,6,3,15,6
Lawrenceburg,TN,8,2,2,2,8,2
Lawrenceburg (Greendale),IN,3,1,1,1,3,1
Lawrenceville,GA,54,30,32,30,54,32
Lawrenceville,PA,1,0,1,0,1,1
Lawrenceville,VA,1,7,0,7,1,0
Lawton,MI,1,0,0,0,1,0
Lawton,OK,121,71,26,71,121,26
Layland,WV,1,1,0,1,1,0
Layton,UT,8,3,4,3,8,4
Laytonville,CA,1,1,0,1,1,0
Le Center,MN,1,0,0,0,1,0
Le Claire (Leclaire),IA,1,0,0,0,1,0
Le Flore (county),OK,1,1,0,1,1,0
Le Grand,CA,4,2,0,2,4,0
Le Mars,IA,4,0,0,0,4,0
Le Roy,MN,2,0,0,0,2,0
Le Roy,NY,1,0,0,0,1,0
Le Roy (Leroy),NY,2,0,1,0,2,1
LeFlore (county),AR,2,1,1,1,2,1
Lea (county),NM,1,0,0,0,1,0
Leachville,AR,1,0,1,0,1,1
Lead Hill,AR,1,0,2,0,1,2
Leadville,CO,1,0,0,0,1,0
Leadwood,MO,2,1,1,1,2,1
Leaf River,IL,1,0,0,0,1,0
League City,TX,13,2,7,2,13,7
Leake (county),MS,4,3,3,3,4,3
Leander,TX,7,2,2,2,7,2
Leander (Jonestown),TX,1,0,0,0,1,0
Leasburg,MO,1,0,1,0,1,1
Leavenworth,KS,50,20,7,20,50,7
Leavenworth,WA,1,1,0,1,1,0
Leavittsburg,OH,2,0,1,0,2,1
Lebanon,CT,3,0,0,0,3,0
Lebanon,IN,4,2,2,2,4,2
Lebanon,KY,4,0,3,0,4,3
Lebanon,ME,5,0,2,0,5,2
Lebanon,MO,5,0,1,0,5,1
Lebanon,NH,12,1,1,1,12,1
Lebanon,NJ,2,0,0,0,2,0
Lebanon,OH,6,2,2,2,6,2
Lebanon,OR,31,7,1,7,31,1
Lebanon,PA,75,25,12,25,75,12
Lebanon,TN,38,20,5,20,38,5
Lebanon,VA,4,1,1,1,4,1
Lebanon,WI,1,2,0,2,1,0
Lebanon (Swatara Township),PA,2,0,0,0,2,0
Lebanon (county),PA,1,0,0,0,1,0
Lebanon County,PA,1,0,0,0,1,0
Lebanon Junction,KY,1,0,1,0,1,1
Lebec,CA,2,0,2,0,2,2
Lebec (Gorman),CA,2,0,2,0,2,2
Lecanto,FL,4,3,2,3,4,2
Lecompte,LA,3,0,0,0,3,0
Ledbetter,TX,2,0,4,0,2,4
Ledbetter (Waldeck),TX,1,0,1,0,1,1
Ledyard,CT,9,3,0,3,9,0
Ledyard,NY,1,1,0,1,1,0
Lee,FL,6,1,0,1,6,0
Lee,MA,1,1,0,1,1,0
Lee,ME,1,4,2,4,1,2
Lee,MS,1,0,2,0,1,2
Lee,NH,3,1,0,1,3,0
Lee (county),AL,3,0,2,0,3,2
Lee (county),FL,9,3,0,3,9,0
Lee (county),IL,1,0,0,0,1,0
Lee (county),MS,5,4,1,4,5,1
Lee (county),NC,1,1,0,1,1,0
Lee Center,NY,1,0,0,0,1,0
Lee County,AL,2,0,4,0,2,4
Lee County,FL,17,7,2,7,17,2
Lee County,GA,4,0,1,0,4,1
Lee County,MS,2,0,0,0,2,0
Lee County,NC,1,1,0,1,1,0
Lee County,SC,2,0,2,0,2,2
Lee's Summit,MO,5,1,2,1,5,2
Leechburg,PA,3,0,1,0,3,1
Leeds,AL,8,7,4,7,8,4
Leeds,ME,1,0,0,0,1,0
Leeds,ND,1,0,1,0,1,1
Leeds,UT,3,0,2,0,3,2
Leelanau (county),MI,1,0,0,0,1,0
Leelanau County,MI,1,0,0,0,1,0
Lees Summit,MO,16,7,5,7,16,5
Lees Summit (Lee's Summit),MO,1,0,1,0,1,1
Leesburg,AL,1,0,1,0,1,1
Leesburg,FL,52,27,11,27,52,11
Leesburg,GA,7,2,2,2,7,2
Leesburg,IN,2,1,0,1,2,0
Leesburg,NJ,1,0,1,0,1,1
Leesburg,VA,9,4,5,4,9,5
Leesburg (Lucketts),VA,1,0,1,0,1,1
Leesburg (Sand Rock),AL,2,0,0,0,2,0
Leesville,LA,8,3,2,3,8,2
Leesville,SC,4,1,2,1,4,2
Leetonia,OH,1,0,0,0,1,0
Leflore,AR,1,0,0,0,1,0
Leflore (county),MS,1,0,1,0,1,1
Lehi,UT,1,0,0,0,1,0
Lehigh,KS,1,0,1,0,1,1
Lehigh (county),PA,3,0,0,0,3,0
Lehigh Acres,FL,116,52,28,52,116,28
Lehigh Acres ,FL,2,0,0,0,2,0
Lehigh Acres (Leehigh Acres),FL,6,2,2,2,6,2
Lehighton,PA,2,1,0,1,2,0
Lehillier,MN,1,0,0,0,1,0
Lehman,PA,1,1,0,1,1,0
Leicester,MA,3,0,0,0,3,0
Leicester,NC,4,3,0,3,4,0
Leicester,NY,3,1,0,1,3,0
Leighton,AL,5,3,1,3,5,1
Leitchfield,KY,5,1,4,1,5,4
Leivasy,WV,1,0,1,0,1,1
Leland,MI,1,0,0,0,1,0
Leland,MS,4,0,4,0,4,4
Leland,NC,14,2,2,2,14,2
Leland (Belville),NC,1,0,1,0,1,1
Leland (Navassa),NC,2,0,1,0,2,1
Lemitar,NM,1,0,0,0,1,0
Lemmon,SD,1,0,1,0,1,1
Lemon Grove,CA,6,4,2,4,6,2
Lemont Furnace,PA,1,0,0,0,1,0
Lemoore,CA,11,4,3,4,11,3
Lemoyne,NE,1,0,1,0,1,1
Lemoyne,PA,15,1,0,1,15,0
Lemoyne (Wormleysburg),PA,2,0,0,0,2,0
Lena,MS,1,0,1,0,1,1
Lenawee (county),MI,1,0,1,0,1,1
Lenawee County,MI,1,0,1,0,1,1
Lenexa,KS,15,4,5,4,15,5
Lenexa (Overland),KS,1,0,0,0,1,0
Lennox,SD,2,2,5,2,2,5
Lenoir,NC,10,3,3,3,10,3
Lenoir (county),NC,2,1,0,1,2,0
Lenoir City,TN,8,1,6,1,8,6
Lenox,GA,2,2,0,2,2,0
Lenox,MA,1,0,0,0,1,0
Lenox (El Dorado),GA,1,2,2,2,1,2
Lenox Township,MI,3,0,2,0,3,2
Lenzburg,IL,1,0,1,0,1,1
Leola,PA,2,1,0,1,2,0
Leominster,MA,19,6,0,6,19,0
Leon,WV,1,1,0,1,1,0
Leon (county),FL,1,0,0,0,1,0
Leon County,FL,3,2,0,2,3,0
Leonard,MI,1,0,0,0,1,0
Leonard (Addison Township),MI,1,1,0,1,1,0
Leonardtown,MD,5,2,0,2,5,0
Leoni Township,MI,1,0,0,0,1,0
Leonidas,MI,1,1,0,1,1,0
Lepanto,AR,5,3,0,3,5,0
Lerona,WV,2,0,0,0,2,0
Leroy,MI,1,0,0,0,1,0
Leroy,WI,1,1,0,1,1,0
Lesage,WV,5,0,2,0,5,2
Leslie,AR,1,1,1,1,1,1
Leslie,GA,2,0,2,0,2,2
Leslie County,KY,2,4,0,4,2,0
Lessor,WI,1,0,0,0,1,0
Lesterville,MO,1,0,1,0,1,1
Letart,WV,1,0,1,0,1,1
Letcher,SD,1,1,0,1,1,0
Letcher County,KY,1,0,1,0,1,1
Lettsworth,LA,1,0,1,0,1,1
Levelland,TX,9,1,3,1,9,3
Levittown,NY,5,0,0,0,5,0
Levittown,PA,7,3,4,3,7,4
Levittown (Middletown Twp),PA,1,1,0,1,1,0
Levy,FL,1,0,1,0,1,1
Levy (county),FL,2,1,2,1,2,2
Lewes,DE,5,1,0,1,5,0
Lewis (county),KY,1,0,1,0,1,1
Lewis (county),TN,1,0,1,0,1,1
Lewis (county),WA,1,0,0,0,1,0
Lewis (county),WV,1,1,1,1,1,1
Lewis And Clark (county),MT,2,0,1,0,2,1
Lewis And Clark County,MT,1,1,0,1,1,0
Lewis Center,OH,4,1,2,1,4,2
Lewisberry,PA,1,0,1,0,1,1
Lewisburg,KY,1,0,0,0,1,0
Lewisburg,PA,2,1,0,1,2,0
Lewisburg,TN,5,4,1,4,5,1
Lewisburg,WV,6,4,1,4,6,1
Lewisport,KY,2,0,1,0,2,1
Lewiston,CA,1,0,0,0,1,0
Lewiston,ID,15,7,1,7,15,1
Lewiston,ME,33,7,1,7,33,1
Lewiston,MN,1,0,0,0,1,0
Lewiston,NY,7,1,0,1,7,0
Lewiston,UT,1,1,0,1,1,0
Lewiston Woodville (Lewiston),NC,1,1,0,1,1,0
Lewistown,MT,1,0,0,0,1,0
Lewistown,PA,2,0,1,0,2,1
Lewisville,AR,1,1,0,1,1,0
Lewisville,NC,3,0,3,0,3,3
Lewisville,TX,18,7,5,7,18,5
Lexington,IN,3,0,3,0,3,3
Lexington,KY,851,405,81,405,851,81
Lexington,MA,2,0,0,0,2,0
Lexington,MI,1,0,0,0,1,0
Lexington,MO,1,0,0,0,1,0
Lexington,MS,6,2,4,2,6,4
Lexington,NC,46,24,12,24,46,12
Lexington,NE,3,1,0,1,3,0
Lexington,OH,1,0,0,0,1,0
Lexington,OK,2,0,0,0,2,0
Lexington,SC,19,4,8,4,19,8
Lexington,TN,7,4,1,4,7,1
Lexington,TX,1,0,0,0,1,0
Lexington,VA,2,0,1,0,2,1
Lexington ,KY,1,0,0,0,1,0
Lexington (Arcadia),NC,2,1,1,1,2,1
Lexington (Edmund),SC,2,0,1,0,2,1
Lexington (Red Bank),SC,2,0,1,0,2,1
Lexington (Reedy Creek),NC,1,0,0,0,1,0
Lexington (county),SC,11,6,3,6,11,3
Lexington County,SC,9,2,4,2,9,4
Lexington Park,MD,8,2,0,2,8,0
Lexington Township,OH,1,0,0,0,1,0
Libby,MT,6,0,4,0,6,4
Liberal,KS,5,6,2,6,5,2
Liberty,IL,1,0,0,0,1,0
Liberty,IN,1,0,0,0,1,0
Liberty,KY,2,1,1,1,2,1
Liberty,MO,10,3,5,3,10,5
Liberty,MS,1,1,0,1,1,0
Liberty,NC,3,1,1,1,3,1
Liberty,NY,3,0,0,0,3,0
Liberty,OH,1,1,0,1,1,0
Liberty,SC,5,1,6,1,5,6
Liberty,TX,3,2,0,2,3,0
Liberty,WV,1,0,0,0,1,0
Liberty (Pleasant Valley),MO,2,1,1,1,2,1
Liberty (county),FL,1,0,0,0,1,0
Liberty (county),TX,7,3,3,3,7,3
Liberty County,FL,1,0,1,0,1,1
Liberty County,TX,2,1,1,1,2,1
Liberty Hill,TX,2,0,0,0,2,0
Liberty Township,IN,1,1,0,1,1,0
Liberty Township,MN,1,0,0,0,1,0
Liberty Township,OH,2,0,0,0,2,0
Libertyville,IL,2,0,1,0,2,1
Licking,MO,1,1,0,1,1,0
Licking (county),OH,2,1,2,1,2,2
Lidgerwood,ND,1,0,0,0,1,0
Lighthouse Point,FL,3,1,1,1,3,1
Ligonier,IN,2,0,2,0,2,2
Ligonier,PA,2,0,0,0,2,0
Lihue,HI,8,1,6,1,8,6
Lilburn,GA,12,5,5,5,12,5
Lilesville,NC,1,0,1,0,1,1
Lillian,AL,1,0,1,0,1,1
Lillington,NC,13,9,8,9,13,8
Lily,KY,3,0,2,0,3,2
Lima,NY,1,1,0,1,1,0
Lima,OH,33,22,10,22,33,10
Lime Springs,IA,1,0,0,0,1,0
Limerick,ME,1,1,0,1,1,0
Limestone,NY,1,1,2,1,1,2
Limestone,TN,3,0,2,0,3,2
Limestone (county),AL,8,3,1,3,8,1
Limestone (county),TX,1,0,0,0,1,0
Limestone County,AL,4,1,3,1,4,3
Limington,ME,1,0,0,0,1,0
Lincoln,AL,2,0,4,0,2,4
Lincoln,AR,2,2,0,2,2,0
Lincoln,CA,4,1,4,1,4,4
Lincoln,DE,10,7,0,7,10,0
Lincoln,IL,3,1,1,1,3,1
Lincoln,ME,4,1,0,1,4,0
Lincoln,MO,1,0,1,0,1,1
Lincoln,MT,4,0,0,0,4,0
Lincoln,NE,468,78,27,78,468,27
Lincoln,NH,1,0,2,0,1,2
Lincoln,RI,6,2,0,2,6,0
Lincoln (county),CO,1,0,0,0,1,0
Lincoln (county),KY,3,1,0,1,3,0
Lincoln (county),MO,8,2,1,2,8,1
Lincoln (county),MS,2,1,0,1,2,0
Lincoln (county),MT,1,0,1,0,1,1
Lincoln (county),NC,3,2,0,2,3,0
Lincoln (county),NE,3,0,0,0,3,0
Lincoln (county),OK,2,0,1,0,2,1
Lincoln (county),WV,2,1,0,1,2,0
Lincoln City,OR,3,3,2,3,3,2
Lincoln County,AR,1,1,0,1,1,0
Lincoln County,CO,1,0,0,0,1,0
Lincoln County,KY,1,0,0,0,1,0
Lincoln County,MO,2,0,1,0,2,1
Lincoln County,MS,1,1,0,1,1,0
Lincoln County,NC,3,2,0,2,3,0
Lincoln County,NE,1,0,0,0,1,0
Lincoln County,NM,1,0,0,0,1,0
Lincoln County,NV,1,0,1,0,1,1
Lincoln County,TN,1,2,0,2,1,0
Lincoln County,WI,1,0,0,0,1,0
Lincoln County,WV,2,2,1,2,2,1
Lincoln Parish,LA,1,0,1,0,1,1
Lincoln Park,MI,9,3,2,3,9,2
Lincoln Township,MI,1,0,1,0,1,1
Lincoln University,PA,1,1,0,1,1,0
Lincolnia,VA,1,1,0,1,1,0
Lincolnshire,IL,1,0,0,0,1,0
Lincolnton,GA,4,0,3,0,4,3
Lincolnton,NC,17,7,5,7,17,5
Lincolnville,SC,6,5,2,5,6,2
Lincolnwood (Chi),IL,2,1,1,1,2,1
Lincolnwood (chi),IL,1,1,0,1,1,0
Linda Vista ,CA,1,0,0,0,1,0
Lindale,GA,4,0,0,0,4,0
Lindale,TX,7,1,1,1,7,1
Linden,AL,1,0,1,0,1,1
Linden,IN,2,0,0,0,2,0
Linden,MI,1,1,0,1,1,0
Linden,NC,3,2,3,2,3,3
Linden,NJ,38,15,3,15,38,3
Linden,PA,1,0,0,0,1,0
Linden,TN,1,0,0,0,1,0
Linden,TX,1,0,0,0,1,0
Lindenhurst,NY,3,1,1,1,3,1
Lindenwold,NJ,7,4,0,4,7,0
Lindon,UT,3,0,2,0,3,2
Lindsay,CA,3,1,3,1,3,3
Lindsborg,KS,1,0,0,0,1,0
