Law ID,state,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change
HI1050,Hawaii,15,7,minimum age,purchase and sale,long gun,Restrictive,Modify
HI1051,Hawaii,15,10,prohibited possessor,mental health : diagnosed with significant behavioral  emotional or mental disorder,handgun and long gun,Restrictive,Implement
HI1052,Hawaii,15,10,prohibited possessor,dvro : discretionary : surrender,handgun and long gun,Restrictive,Implement
HI1053,Hawaii,15,10,prohibited possessor,dvro : ex parte : expanded : discretionary : surrender : removal,handgun and long gun,Restrictive,Implement
HI1054,Hawaii,15,10,prohibited possessor,dvro : discretionary removal,handgun and long gun,Restrictive,Modify
HI1055,Hawaii,15,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Modify
HI1056,Hawaii,15,12,safety training required,to purchase,handgun,,
HI1057,Hawaii,15,12,safety training required,to purchase,handgun,Restrictive,Implement
HI1058,Hawaii,15,10,prohibited possessor,erpo,handgun and long gun,,
HI1059,Hawaii,15,10,prohibited possessor,dvro,handgun and long gun,,
HI1060,Hawaii,15,10,prohibited possessor,mental health,handgun and long gun,,
HI1061,Hawaii,15,11,registration,,long gun,Restrictive,Modify
HI1062,Hawaii,15,12,safety training required,,long gun,,
HI1063,Hawaii,15,7,minimum age,youth possession,long gun,,
HI1064,Hawaii,15,11,registration,,long gun,Restrictive,Implement
HI1065,Hawaii,15,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
HI1066,Hawaii,15,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
HI1067,Hawaii,15,8,open carry,not restricted,handgun,,
HI1068,Hawaii,15,9,permit to purchase,,long gun,,
HI1069,Hawaii,15,3,castle doctrine,,handgun and long gun,Permissive,Implement
HI1070,Hawaii,15,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement
HI1071,Hawaii,15,10,prohibited possessor,erpo : expanded ex parte,handgun and long gun,Restrictive,Implement
HI1072,Hawaii,15,14,firearm removal at scene of domestic violence,authorized,handgun and long gun,Restrictive,Implement
HI1073,Hawaii,15,13,firearms in college/university,,handgun and long gun,,
HI1074,Hawaii,15,12,local laws preempted by state,,handgun and long gun,,
HI1075,Hawaii,15,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
HI1076,Hawaii,15,10,prohibited possessor,convicted of firearm-prohibiting crime : removal,handgun and long gun,Restrictive,Implement
HI1077,Hawaii,15,11,required reporting of lost or stolen firearms,,handgun and long gun,,
HI1078,Hawaii,15,11,required reporting of lost or stolen firearms,lost and stolen firearms,long gun,Restrictive,Implement
HI1079,Hawaii,15,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement
HI1080,Hawaii,15,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Modify
ID1001,Idaho,16,1,background checks,private sales,handgun,,
ID1002,Idaho,16,1,background checks,private sales,long gun,Restrictive,Implement
ID1003,Idaho,16,1,background checks,sales from dealer,handgun,Permissive,See note
ID1004,Idaho,16,1,background checks,sales from dealer,handgun,,
ID1005,Idaho,16,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
ID1006,Idaho,16,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
ID1007,Idaho,16,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
ID1008,Idaho,16,3,castle doctrine,,handgun and long gun,Permissive,Modify
ID1009,Idaho,16,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
ID1010,Idaho,16,5,dealer license,,handgun,,
ID1011,Idaho,16,7,minimum age,youth possession,long gun,Restrictive,Implement
ID1012,Idaho,16,7,minimum age,youth possession,handgun,,
ID1013,Idaho,16,7,minimum age,purchase and sale,long gun,Restrictive,Implement
ID1015,Idaho,16,7,minimum age,purchase and sale,long gun,Restrictive,Modify
ID1017,Idaho,16,8,open carry,not restricted,long gun,,
ID1018,Idaho,16,11,registration,,handgun,,
ID1019,Idaho,16,13,waiting period,,handgun,,
ID1020,Idaho,16,1,background checks,sales from dealer,long gun,,
ID1021,Idaho,16,4,child access laws,negligent storage,handgun and long gun,,
ID1022,Idaho,16,5,dealer license,,long gun,,
ID1023,Idaho,16,11,registration,,long gun,,
ID1024,Idaho,16,1,background checks,private sales,long gun,,
ID1025,Idaho,16,11,registration,,long gun,,
ID1026,Idaho,16,7,minimum age,youth possession,handgun,Restrictive,Implement
ID1027,Idaho,16,7,minimum age,purchase and sale,handgun,Restrictive,Implement
ID1028,Idaho,16,7,minimum age,purchase and sale,handgun,Restrictive,Modify
ID1029,Idaho,16,13,waiting period,,long gun,,
ID1030,Idaho,16,12,safety training required,,handgun,,
ID1031,Idaho,16,3,castle doctrine,expanded 2,handgun and long gun,Permissive,Modify
ID1032,Idaho,16,10,prohibited possessor,erpo,handgun and long gun,,
ID1033,Idaho,16,10,prohibited possessor,dvro,handgun and long gun,,
ID1034,Idaho,16,10,prohibited possessor,mental health,handgun and long gun,,
ID1035,Idaho,16,12,safety training required,,long gun,,
ID1036,Idaho,16,7,minimum age,youth possession,long gun,,
ID1037,Idaho,16,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
ID1038,Idaho,16,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
ID1039,Idaho,16,1,background checks,sales from dealer,handgun,Restrictive,Implement
ID1040,Idaho,16,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
ID1041,Idaho,16,9,permit to purchase,,handgun,,
ID1042,Idaho,16,9,permit to purchase,,long gun,,
ID1043,Idaho,16,6,firearm sales restrictions,,handgun and long gun,,
ID1044,Idaho,16,8,open carry,not restricted,handgun,,
ID1045,Idaho,16,3,castle doctrine,,handgun and long gun,Permissive,Implement
ID1046,Idaho,16,13,waiting period,federal,handgun,Restrictive,Implement
ID1047,Idaho,16,13,waiting period,federal,handgun,Permissive,Repeal
ID1048,Idaho,16,14,firearm removal at scene of domestic violence,,handgun and long gun,,
ID1049,Idaho,16,13,firearms in college/university,,handgun and long gun,,
ID1050,Idaho,16,12,local laws preempted by state,,handgun and long gun,,
ID1051,Idaho,16,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Modify
ID1052,Idaho,16,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
ID1053,Idaho,16,11,required reporting of lost or stolen firearms,,handgun and long gun,,
ID1054,Idaho,16,13,firearms in college/university,Public : CCW allowed,handgun,Permissive,Implement
IL1001,Illinois,17,1,background checks,permit to purchase,long gun,Restrictive,Implement
IL1002,Illinois,17,1,background checks,permit to purchase,long gun,Restrictive,Modify
IL1003,Illinois,17,1,background checks,private sales,handgun,,
IL1004,Illinois,17,1,background checks,sales from dealer,long gun,Restrictive,Implement
IL1005,Illinois,17,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
IL1006,Illinois,17,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
IL1007,Illinois,17,3,castle doctrine,,handgun and long gun,Permissive,Modify
IL1008,Illinois,17,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
IL1009,Illinois,17,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
IL1010,Illinois,17,5,dealer license,,handgun,,
IL1011,Illinois,17,6,firearm sales restrictions,saturday night special ban,handgun,Restrictive,Implement
IL1013,Illinois,17,7,minimum age,youth possession,long gun,Restrictive,Implement
IL1014,Illinois,17,7,minimum age,purchase and sale,handgun,Restrictive,Implement
IL1016,Illinois,17,8,open carry,prohibited,long gun,Restrictive,Implement
IL1018,Illinois,17,11,registration,,handgun,,
IL1019,Illinois,17,13,waiting period,,handgun,Restrictive,Implement
IL1020,Illinois,17,13,waiting period,,long gun,Permissive,Modify
IL1021,Illinois,17,9,permit to purchase,,handgun,Restrictive,Implement
IL1022,Illinois,17,1,background checks,sales from dealer,handgun,Restrictive,Implement
IL1023,Illinois,17,4,child access laws,negligent storage,handgun and long gun,,
IL1024,Illinois,17,5,dealer license,,long gun,,
IL1025,Illinois,17,8,open carry,prohibited,handgun,Restrictive,Implement
IL1026,Illinois,17,1,background checks,private sales,long gun,Restrictive,Implement
IL1028,Illinois,17,7,minimum age,purchase and sale,handgun,Restrictive,Modify
IL1029,Illinois,17,7,minimum age,purchase and sale,long gun,Restrictive,Implement
IL1030,Illinois,17,1,background checks,permit to purchase,handgun,Restrictive,Implement
IL1031,Illinois,17,1,background checks,permit to purchase,handgun,Restrictive,Modify
IL1032,Illinois,17,9,permit to purchase,,long gun,Restrictive,Implement
IL1037,Illinois,17,13,waiting period,,long gun,Restrictive,Implement
IL1038,Illinois,17,7,minimum age,youth possession,handgun,Restrictive,Implement
IL1039,Illinois,17,10,prohibited possessor,mental health : committed to mh facility : voluntary,handgun and long gun,Restrictive,Implement
IL1040,Illinois,17,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
IL1041,Illinois,17,10,prohibited possessor,mental health : determined by police to be mentally incompetent/incapacitated/disabled,handgun and long gun,Restrictive,Implement
IL1042,Illinois,17,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Implement
IL1043,Illinois,17,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Modify
IL1044,Illinois,17,10,prohibited possessor,dvro : expanded : surrender :  removal,handgun and long gun,Restrictive,Modify
IL1045,Illinois,17,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Modify
IL1046,Illinois,17,10,prohibited possessor,dvro : ex parte : expanded : surrender : removal,handgun and long gun,Restrictive,Implement
IL1047,Illinois,17,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement
IL1048,Illinois,17,10,prohibited possessor,erpo : expanded ex parte,handgun and long gun,Restrictive,Implement
IL1049,Illinois,17,12,safety training required,,handgun,,
IL1050,Illinois,17,10,prohibited possessor,erpo,handgun and long gun,,
IL1051,Illinois,17,12,safety training required,,long gun,,
IL1052,Illinois,17,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
IL1053,Illinois,17,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
IL1054,Illinois,17,3,castle doctrine,,handgun and long gun,Permissive,Implement
IL1055,Illinois,17,1,background checks,private sales,long gun,Restrictive,Modify
IL1056,Illinois,17,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Implement
IL1057,Illinois,17,13,firearms in college/university,,handgun and long gun,,
IL1058,Illinois,17,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement
IL1059,Illinois,17,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
IL1060,Illinois,17,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
IL1061,Illinois,17,12,local laws preempted by state,,handgun and long gun,,
IL1062,Illinois,17,12,local laws preempted by state,selective : licensing  possession and registration of handguns  transportation of firearms  regulation of assault weapons,handgun and long gun,Permissive,Modify
IL1063,Illinois,17,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
IL1064,Illinois,17,11,required reporting of lost or stolen firearms,,handgun and long gun,,
IL1065,Illinois,17,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement
IL1066,Illinois,17,11,required reporting of lost or stolen firearms,lost and stolen firearms,long gun,Restrictive,Implement
IN1001,Indiana,18,1,background checks,private sales,handgun,,
IN1002,Indiana,18,1,background checks,sales from dealer,handgun,Restrictive,Implement
IN1003,Indiana,18,1,background checks,sales from dealer,handgun,,
IN1004,Indiana,18,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Modify
IN1005,Indiana,18,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
IN1006,Indiana,18,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
IN1007,Indiana,18,3,castle doctrine,,handgun and long gun,Permissive,Modify
IN1008,Indiana,18,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
IN1009,Indiana,18,4,child access laws,negligent storage,handgun and long gun,,
IN1010,Indiana,18,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,Restrictive,Implement
IN1011,Indiana,18,5,dealer license,,handgun,Restrictive,Implement
IN1012,Indiana,18,5,dealer license,,handgun,Permissive,Modify
IN1013,Indiana,18,5,dealer license,,handgun,,
IN1014,Indiana,18,7,minimum age,youth possession,long gun,Restrictive,Implement
IN1015,Indiana,18,7,minimum age,youth possession,handgun,,
IN1016,Indiana,18,7,minimum age,purchase and sale,handgun,Restrictive,Implement
IN1017,Indiana,18,7,minimum age,purchase and sale,long gun,Restrictive,Modify
IN1018,Indiana,18,7,minimum age,purchase and sale,long gun,Permissive,Repeal
IN1020,Indiana,18,8,open carry,license required,handgun,Permissive,Implement
IN1021,Indiana,18,8,open carry,not restricted,long gun,,
IN1022,Indiana,18,11,registration,,handgun,,
IN1023,Indiana,18,13,waiting period,,handgun,Restrictive,Implement
IN1024,Indiana,18,13,waiting period,,handgun,Restrictive,Modify
IN1025,Indiana,18,13,waiting period,,handgun,Permissive,Repeal
IN1026,Indiana,18,13,waiting period,,handgun,,
IN1027,Indiana,18,1,background checks,sales from dealer,long gun,,
IN1028,Indiana,18,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
IN1029,Indiana,18,5,dealer license,,long gun,,
IN1030,Indiana,18,11,registration,,long gun,,
IN1031,Indiana,18,1,background checks,private sales,long gun,,
IN1032,Indiana,18,7,minimum age,youth possession,handgun,Restrictive,Implement
IN1033,Indiana,18,7,minimum age,purchase and sale,handgun,Restrictive,Modify
IN1034,Indiana,18,7,minimum age,purchase and sale,handgun,Permissive,Repeal
IN1035,Indiana,18,13,waiting period,,long gun,,
IN1036,Indiana,18,10,prohibited possessor,dvro : discretionary surrender,handgun and long gun,Restrictive,Implement
IN1037,Indiana,18,10,prohibited possessor,erpo,handgun and long gun,Restrictive,Implement
IN1038,Indiana,18,12,safety training required,,handgun,,
IN1039,Indiana,18,10,prohibited possessor,erpo,handgun and long gun,,
IN1040,Indiana,18,10,prohibited possessor,dvro,handgun and long gun,,
IN1041,Indiana,18,10,prohibited possessor,mental health,handgun and long gun,,
IN1042,Indiana,18,12,safety training required,,long gun,,
IN1043,Indiana,18,7,minimum age,youth possession,long gun,,
IN1044,Indiana,18,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
IN1045,Indiana,18,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
IN1046,Indiana,18,8,open carry,not restricted,handgun,,
IN1047,Indiana,18,6,firearm sales restrictions,,handgun and long gun,,
IN1048,Indiana,18,3,castle doctrine,,handgun and long gun,Permissive,Implement
IN1049,Indiana,18,14,firearm removal at scene of domestic violence,,handgun and long gun,,
IN1050,Indiana,18,14,firearm removal at scene of domestic violence,authorized,handgun and long gun,Restrictive,Implement
IN1051,Indiana,18,13,firearms in college/university,,handgun and long gun,,
IN1052,Indiana,18,12,local laws preempted by state,,handgun and long gun,,
IN1053,Indiana,18,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Modify
IN1054,Indiana,18,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
IN1055,Indiana,18,11,required reporting of lost or stolen firearms,,handgun and long gun,,
IA1001,Iowa,19,1,background checks,private sales,handgun,Restrictive,Implement
IA1003,Iowa,19,1,background checks,sales from dealer,handgun,Restrictive,Implement
IA1005,Iowa,19,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
IA1006,Iowa,19,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
IA1007,Iowa,19,3,castle doctrine,expanded 1,handgun and long gun,Permissive,Modify
IA1008,Iowa,19,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
IA1009,Iowa,19,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
IA1010,Iowa,19,5,dealer license,,handgun,,
IA1011,Iowa,19,7,minimum age,youth possession,long gun,Restrictive,Implement
IA1012,Iowa,19,7,minimum age,purchase and sale,long gun,Restrictive,Modify
IA1014,Iowa,19,8,open carry,license required,handgun,Permissive,Implement
IA1015,Iowa,19,8,open carry,limited : prohibited : loaded,long gun,Restrictive,Implement
IA1017,Iowa,19,11,registration,,handgun,,
IA1018,Iowa,19,13,waiting period,,long gun,,
IA1020,Iowa,19,9,permit to purchase,,handgun,Restrictive,Implement
IA1021,Iowa,19,7,minimum age,youth possession,handgun,Restrictive,Implement
IA1022,Iowa,19,1,background checks,sales from dealer,long gun,,
IA1023,Iowa,19,7,minimum age,purchase and sale,handgun,Restrictive,Modify
IA1024,Iowa,19,1,background checks,permit to purchase,handgun,Restrictive,Implement
IA1026,Iowa,19,4,child access laws,negligent storage,handgun and long gun,,
IA1027,Iowa,19,5,dealer license,,long gun,,
IA1028,Iowa,19,11,registration,,long gun,,
IA1029,Iowa,19,1,background checks,private sales,long gun,,
IA1030,Iowa,19,5,dealer license,,long gun,,
IA1031,Iowa,19,10,prohibited possessor,dvro : expanded : surrender,handgun and long gun,Restrictive,Implement
IA1032,Iowa,19,12,safety training required,,handgun,,
IA1033,Iowa,19,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
IA1034,Iowa,19,10,prohibited possessor,erpo,handgun and long gun,,
IA1035,Iowa,19,10,prohibited possessor,dvro,handgun and long gun,,
IA1036,Iowa,19,10,prohibited possessor,mental health,handgun and long gun,,
IA1037,Iowa,19,12,safety training required,,long gun,,
IA1038,Iowa,19,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
IA1039,Iowa,19,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
IA1040,Iowa,19,9,permit to purchase,,long gun,,
IA1002,Iowa,19,1,background checks,private sales,handgun,,
IA1042,Iowa,19,3,castle doctrine,,handgun and long gun,Permissive,Implement
IA1004,Iowa,19,1,background checks,sales from dealer,handgun,,
IA1043,Iowa,19,14,firearm removal at scene of domestic violence,,handgun and long gun,,
IA1044,Iowa,19,13,firearms in college/university,,handgun and long gun,,
IA1045,Iowa,19,12,local laws preempted by state,,handgun and long gun,,
IA1046,Iowa,19,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
IA1047,Iowa,19,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
IA1048,Iowa,19,11,required reporting of lost or stolen firearms,,handgun and long gun,,
KS1001,Kansas,20,1,background checks,private sales,handgun,,
KS1002,Kansas,20,1,background checks,sales from dealer,handgun,,
KS1003,Kansas,20,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
KS1004,Kansas,20,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
KS1005,Kansas,20,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
KS1006,Kansas,20,3,castle doctrine,,handgun and long gun,Permissive,Implement
KS1007,Kansas,20,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
KS1009,Kansas,20,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
KS1010,Kansas,20,5,dealer license,,handgun,,
KS1011,Kansas,20,7,minimum age,youth possession,handgun,Restrictive,Implement
KS1012,Kansas,20,7,minimum age,youth possession,handgun,,
KS1014,Kansas,20,7,minimum age,purchase and sale,handgun,Restrictive,Implement
KS1016,Kansas,20,7,minimum age,purchase and sale,long gun,,
KS1018,Kansas,20,8,open carry,not restricted,long gun,,
KS1019,Kansas,20,11,registration,,handgun,,
KS1020,Kansas,20,13,waiting period,,handgun,,
KS1021,Kansas,20,1,background checks,sales from dealer,long gun,,
KS1022,Kansas,20,4,child access laws,negligent storage,handgun and long gun,,
KS1023,Kansas,20,11,registration,,long gun,,
KS1024,Kansas,20,1,background checks,private sales,long gun,,
KS1025,Kansas,20,13,waiting period,,long gun,,
KS1026,Kansas,20,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
KS1027,Kansas,20,10,prohibited possessor,dvro : discretionary,handgun and long gun,Restrictive,Implement
KS1028,Kansas,20,12,safety training required,,handgun,,
KS1029,Kansas,20,10,prohibited possessor,erpo,handgun and long gun,,
KS1030,Kansas,20,10,prohibited possessor,dvro,handgun and long gun,,
KS1031,Kansas,20,12,safety training required,,long gun,,
KS1032,Kansas,20,7,minimum age,youth possession,long gun,,
KS1033,Kansas,20,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
KS1034,Kansas,20,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
KS1035,Kansas,20,8,open carry,not restricted,handgun,,
KS1036,Kansas,20,9,permit to purchase,,handgun,,
KS1037,Kansas,20,9,permit to purchase,,long gun,,
KS1038,Kansas,20,6,firearm sales restrictions,,handgun and long gun,,
KS1039,Kansas,20,13,waiting period,federal,handgun,Restrictive,Implement
KS1040,Kansas,20,13,waiting period,federal,handgun,Permissive,Repeal
KS1041,Kansas,20,14,firearm removal at scene of domestic violence,,handgun and long gun,,
KS1042,Kansas,20,13,firearms in college/university,,handgun and long gun,,
KS1043,Kansas,20,13,firearms in college/university,Public : CCW allowed,handgun,Permissive,Implement
KS1044,Kansas,20,12,local laws preempted by state,,handgun and long gun,,
KS1045,Kansas,20,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
KS1046,Kansas,20,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Modify
KS1047,Kansas,20,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
KS1048,Kansas,20,11,required reporting of lost or stolen firearms,,handgun and long gun,,
KY1001,Kentucky,21,1,background checks,private sales,handgun,,
KY1002,Kentucky,21,1,background checks,sales from dealer,handgun,,
KY1003,Kentucky,21,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
KY1004,Kentucky,21,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
KY1005,Kentucky,21,3,castle doctrine,,handgun and long gun,Permissive,Modify
KY1006,Kentucky,21,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
KY1007,Kentucky,21,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
KY1008,Kentucky,21,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,Restrictive,Implement
KY1009,Kentucky,21,5,dealer license,,handgun,,
KY1010,Kentucky,21,7,minimum age,youth possession,handgun,Restrictive,Implement
KY1011,Kentucky,21,7,minimum age,youth possession,handgun,,
KY1012,Kentucky,21,7,minimum age,purchase and sale,handgun,Permissive,Modify
KY1013,Kentucky,21,7,minimum age,purchase and sale,long gun,Restrictive,Implement
KY1016,Kentucky,21,8,open carry,not restricted,handgun,,
KY1017,Kentucky,21,8,open carry,not restricted,long gun,,
KY1018,Kentucky,21,13,waiting period,,handgun,,
KY1019,Kentucky,21,1,background checks,sales from dealer,long gun,,
KY1020,Kentucky,21,4,child access laws,negligent storage,handgun and long gun,,
KY1021,Kentucky,21,5,dealer license,,long gun,,
KY1022,Kentucky,21,11,registration,,long gun,,
KY1023,Kentucky,21,1,background checks,private sales,long gun,,
KY1024,Kentucky,21,7,minimum age,purchase and sale,handgun,Restrictive,Implement
KY1025,Kentucky,21,13,waiting period,,long gun,,
KY1026,Kentucky,21,12,safety training required,,handgun,,
KY1027,Kentucky,21,10,prohibited possessor,erpo,handgun and long gun,,
KY1028,Kentucky,21,10,prohibited possessor,dvro,handgun and long gun,,
KY1029,Kentucky,21,10,prohibited possessor,mental health,handgun and long gun,,
KY1030,Kentucky,21,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
KY1031,Kentucky,21,12,safety training required,,long gun,,
KY1032,Kentucky,21,7,minimum age,youth possession,long gun,,
KY1033,Kentucky,21,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
KY1034,Kentucky,21,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
KY1035,Kentucky,21,9,permit to purchase,,handgun,,
KY1036,Kentucky,21,9,permit to purchase,,long gun,,
KY1037,Kentucky,21,6,firearm sales restrictions,,handgun and long gun,,
KY1038,Kentucky,21,3,castle doctrine,,handgun and long gun,Permissive,Implement
KY1039,Kentucky,21,13,waiting period,federal,handgun,Restrictive,Implement
KY1040,Kentucky,21,13,waiting period,federal,handgun,Permissive,Repeal
KY1041,Kentucky,21,14,firearm removal at scene of domestic violence,,handgun and long gun,,
KY1042,Kentucky,21,13,firearms in college/university,,handgun and long gun,,
KY1043,Kentucky,21,12,local laws preempted by state,,handgun and long gun,,
KY1044,Kentucky,21,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
KY1045,Kentucky,21,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
KY1046,Kentucky,21,11,required reporting of lost or stolen firearms,,handgun and long gun,,
LA1001,Louisiana,22,1,background checks,private sales,handgun,,
LA1002,Louisiana,22,1,background checks,sales from dealer,handgun,,
LA1003,Louisiana,22,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Modify
LA1004,Louisiana,22,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
LA1005,Louisiana,22,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
LA1006,Louisiana,22,3,castle doctrine,,handgun and long gun,Permissive,Modify
LA1007,Louisiana,22,3,castle doctrine,expanded 2,handgun and long gun,Permissive,Modify
LA1008,Louisiana,22,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
LA1009,Louisiana,22,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
LA1010,Louisiana,22,5,dealer license,,handgun,,
LA1011,Louisiana,22,7,minimum age,youth possession,handgun,Restrictive,Implement
LA1012,Louisiana,22,7,minimum age,youth possession,handgun,,
LA1013,Louisiana,22,7,minimum age,purchase and sale,long gun,Restrictive,Implement
LA1014,Louisiana,22,7,minimum age,purchase and sale,long gun,Permissive,Modify
LA1016,Louisiana,22,8,open carry,not restricted,long gun,,
LA1017,Louisiana,22,11,registration,,handgun,,
LA1018,Louisiana,22,13,waiting period,,handgun,,
LA1019,Louisiana,22,1,background checks,sales from dealer,long gun,,
LA1020,Louisiana,22,4,child access laws,negligent storage,handgun and long gun,,
LA1021,Louisiana,22,5,dealer license,,long gun,,
LA1022,Louisiana,22,11,registration,,long gun,,
LA1023,Louisiana,22,1,background checks,private sales,long gun,,
LA1024,Louisiana,22,7,minimum age,purchase and sale,handgun,Restrictive,Implement
LA1025,Louisiana,22,7,minimum age,purchase and sale,handgun,Permissive,Modify
LA1026,Louisiana,22,13,waiting period,,long gun,,
LA1027,Louisiana,22,10,prohibited possessor,dvro : expanded : discretionary,handgun and long gun,Restrictive,Implement
LA1028,Louisiana,22,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Implement
LA1029,Louisiana,22,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
LA1030,Louisiana,22,10,prohibited possessor,dvro : surrender,handgun and long gun,Restrictive,Implement
LA1031,Louisiana,22,12,safety training required,,handgun,,
LA1032,Louisiana,22,10,prohibited possessor,erpo,handgun and long gun,,
LA1033,Louisiana,22,10,prohibited possessor,dvro,handgun and long gun,,
LA1034,Louisiana,22,10,prohibited possessor,mental health,handgun and long gun,,
LA1035,Louisiana,22,12,safety training required,,long gun,,
LA1036,Louisiana,22,7,minimum age,youth possession,long gun,,
LA1037,Louisiana,22,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
LA1038,Louisiana,22,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
LA1039,Louisiana,22,8,open carry,not restricted,long gun,,
LA1040,Louisiana,22,9,permit to purchase,,handgun,,
LA1041,Louisiana,22,9,permit to purchase,,long gun,,
LA1042,Louisiana,22,6,firearm sales restrictions,,handgun and long gun,,
LA1043,Louisiana,22,3,castle doctrine,,handgun and long gun,Permissive,Implement
